Objects
250
,,Global Angle TCP:TCP,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm
87,0,-0.009755,0.003715,0.006621,-835.098999,285.193115,612.333740
88,0,-0.009752,0.003775,0.006609,-835.102722,285.195648,612.332336
89,0,-0.009740,0.003832,0.006609,-835.111267,285.190399,612.325562
90,0,-0.009651,0.003809,0.006564,-835.109131,285.203430,612.331421
91,0,-0.009652,0.003673,0.006514,-835.079834,285.210876,612.331787
92,0,-0.009645,0.003754,0.006551,-835.102844,285.202911,612.337280
93,0,-0.009722,0.003714,0.006656,-835.099121,285.198914,612.325195
94,0,-0.009674,0.003539,0.006513,-835.083801,285.211609,612.321106
95,0,-0.009715,0.003887,0.006598,-835.117920,285.198029,612.332092
96,0,-0.009643,0.003548,0.006547,-835.080322,285.201111,612.320740
97,0,-0.009678,0.003591,0.006519,-835.076477,285.206665,612.316772
98,0,-0.009665,0.003709,0.006554,-835.093323,285.206482,612.326599
99,0,-0.009697,0.003666,0.006547,-835.095764,285.204346,612.324768
100,0,-0.009666,0.003720,0.006597,-835.095581,285.207550,612.329163
101,0,-0.009659,0.003646,0.006608,-835.099365,285.186127,612.314697
102,0,-0.009746,0.003877,0.006579,-835.111450,285.197571,612.336914
103,0,-0.009742,0.003698,0.006543,-835.099182,285.186920,612.332947
104,0,-0.009694,0.003612,0.006585,-835.082336,285.202606,612.331543
105,0,-0.009666,0.003849,0.006587,-835.109985,285.205688,612.329102
106,0,-0.009743,0.003695,0.006627,-835.098511,285.191956,612.333130
107,0,-0.009669,0.003681,0.006600,-835.086487,285.210022,612.329407
108,0,-0.009674,0.003727,0.006596,-835.091431,285.196960,612.323364
109,0,-0.009745,0.003665,0.006619,-835.095581,285.191193,612.324463
110,0,-0.009774,0.003687,0.006532,-835.107971,285.187012,612.328125
111,0,-0.009717,0.003879,0.006630,-835.114197,285.190247,612.323120
112,0,-0.009709,0.003556,0.006576,-835.086243,285.196442,612.321350
113,0,-0.009707,0.003803,0.006610,-835.100464,285.200073,612.331970
114,0,-0.009773,0.003775,0.006523,-835.095459,285.196808,612.337524
115,0,-0.009693,0.003608,0.006589,-835.087219,285.203461,612.322388
116,0,-0.009725,0.003605,0.006595,-835.086914,285.202637,612.324036
117,0,-0.009724,0.003621,0.006600,-835.086487,285.198639,612.329285
118,0,-0.009712,0.003699,0.006562,-835.091919,285.205658,612.323853
119,0,-0.009795,0.003805,0.006575,-835.108826,285.186615,612.326294
120,0,-0.009618,0.003762,0.006538,-835.098938,285.209259,612.332642
121,0,-0.009751,0.003725,0.006579,-835.095825,285.195404,612.323669
122,0,-0.009771,0.003734,0.006537,-835.101929,285.196930,612.334961
123,0,-0.009779,0.003820,0.006528,-835.103271,285.198364,612.334412
124,0,-0.009713,0.003720,0.006569,-835.092407,285.200592,612.328369
125,0,-0.009776,0.003554,0.006550,-835.078674,285.195221,612.329712
126,0,-0.009747,0.003729,0.006511,-835.094788,285.201813,612.326172
127,0,-0.009652,0.003649,0.006535,-835.093689,285.201111,612.323425
128,0,-0.009742,0.003740,0.006589,-835.098450,285.185791,612.319153
129,0,-0.009764,0.003665,0.006534,-835.091370,285.192230,612.332581
130,0,-0.009706,0.003795,0.006541,-835.102905,285.189606,612.323792
131,0,-0.009725,0.003817,0.006634,-835.100281,285.198914,612.329468
132,0,-0.009757,0.003689,0.006589,-835.095154,285.196259,612.325867
133,0,-0.009773,0.003605,0.006528,-835.088135,285.193237,612.334167
134,0,-0.009711,0.003716,0.006610,-835.094116,285.192505,612.330811
135,0,-0.009759,0.003757,0.006550,-835.102051,285.199707,612.325806
136,0,-0.009630,0.003708,0.006487,-835.098633,285.209045,612.319641
137,0,-0.009663,0.003830,0.006561,-835.101563,285.212433,612.346313
138,0,-0.009571,0.003521,0.006498,-835.084534,285.205139,612.324951
139,0,-0.009744,0.003765,0.006532,-835.102905,285.197235,612.332397
140,0,-0.009695,0.003710,0.006595,-835.093567,285.198853,612.323914
141,0,-0.009767,0.003721,0.006581,-835.094360,285.196045,612.328674
142,0,-0.009711,0.003896,0.006594,-835.105957,285.200073,612.337158
143,0,-0.009681,0.003676,0.006518,-835.094055,285.203552,612.324036
144,0,-0.009787,0.004011,0.006622,-835.123413,285.193787,612.327454
145,0,-0.009703,0.003678,0.006518,-835.091919,285.199097,612.332153
146,0,-0.009728,0.003837,0.006623,-835.097473,285.196228,612.328857
147,0,-0.009704,0.003636,0.006556,-835.084412,285.195526,612.323242
148,0,-0.009642,0.003515,0.006488,-835.077759,285.207642,612.323181
149,0,-0.009753,0.003617,0.006531,-835.088867,285.199310,612.320862
150,0,-0.009731,0.003844,0.006523,-835.110840,285.200317,612.328003
151,0,-0.009639,0.003726,0.006587,-835.096619,285.206116,612.328247
152,0,-0.009654,0.003940,0.006606,-835.121704,285.198334,612.334656
153,0,-0.009692,0.003669,0.006564,-835.090759,285.204865,612.329590
154,0,-0.009737,0.003917,0.006680,-835.112244,285.184113,612.337708
155,0,-0.009677,0.003589,0.006537,-835.092285,285.193756,612.323181
156,0,-0.009719,0.003767,0.006576,-835.098450,285.200348,612.335083
157,0,-0.009795,0.003660,0.006580,-835.096985,285.192047,612.322998
158,0,-0.009700,0.003784,0.006552,-835.103882,285.197418,612.321472
159,0,-0.009732,0.003663,0.006531,-835.087769,285.201324,612.320190
160,0,-0.009717,0.003671,0.006618,-835.092407,285.201202,612.319885
161,0,-0.009736,0.003829,0.006532,-835.103882,285.204620,612.328125
162,0,-0.009712,0.003814,0.006610,-835.106750,285.195984,612.330994
163,0,-0.009659,0.003843,0.006545,-835.103882,285.207367,612.333130
164,0,-0.009747,0.003782,0.006596,-835.094238,285.200439,612.328918
165,0,-0.009602,0.003682,0.006559,-835.091858,285.211700,612.325623
166,0,-0.009702,0.003613,0.006608,-835.089783,285.191071,612.328918
167,0,-0.009640,0.003846,0.006546,-835.102905,285.205048,612.333679
168,0,-0.009687,0.003666,0.006481,-835.095032,285.198242,612.329529
169,0,-0.009715,0.003906,0.006549,-835.116516,285.197998,612.338867
170,0,-0.009587,0.003716,0.006524,-835.091003,285.212952,612.329773
171,0,-0.009620,0.003630,0.006540,-835.083679,285.207245,612.326538
172,0,-0.009777,0.003951,0.006533,-835.118652,285.203278,612.324707
173,0,-0.009648,0.003792,0.006576,-835.105591,285.196411,612.329468
